"directorio","secuencia_p","orden","sex","age","relab","y_total_m","ocu","totalHoursWorked","p6210","sizeFirm","informal","fex_c"
4514469,1,1,1,39,4,1500000,1,72,6,1,0,254.687742271476
4514470,1,1,1,36,2,5287500,1,54,6,5,0,263.1506421975
4514471,1,3,1,20,1,5e+05,1,50,4,2,1,194.208921972393
4514471,1,1,1,47,4,1300000,1,60,3,1,1,194.208921972393
4514471,1,2,0,49,4,3e+05,1,24,4,1,1,194.208921972393
4514472,1,1,0,53,1,1.8e+07,1,56,6,5,0,241.981809536919
4514472,1,2,0,27,4,1500000,1,60,6,1,0,241.981809536919
4514474,1,3,1,22,1,820857,1,72,5,5,0,234.707409371681
4514474,1,2,0,50,4,150000,1,36,4,1,1,234.707409371681
4514475,1,1,1,46,1,820857,1,48,3,2,0,341.979787849128
4514476,1,1,1,42,4,8e+05,1,48,4,1,1,251.934139590821
4514476,1,2,1,18,1,862357,1,54,5,2,0,251.934139590821
4514477,1,2,0,27,1,849857,1,48,5,5,0,412.346033574731
4514477,1,1,0,52,1,1226473.375,1,48,6,5,0,412.346033574731
4514478,1,1,1,64,4,90000,1,40,4,1,1,218.373504244188
4514479,1,1,0,55,3,250000,1,48,5,1,1,254.386811904384
4514480,1,1,1,37,1,1300000,1,48,6,5,0,205.425424579072
4514480,1,2,0,46,4,8e+05,1,48,6,1,0,205.425424579072
4514481,1,1,1,63,1,833333.3125,1,48,3,5,0,238.640556816578
4514483,1,1,0,49,3,6e+05,1,30,3,1,1,239.228206856264
4514483,1,2,1,22,1,850000,1,48,5,3,1,239.228206856264
4514484,1,3,1,44,1,975000,1,48,6,5,0,247.126622433643
4514485,1,3,1,23,1,850023.6875,1,48,5,5,0,232.254737058118
4514485,1,2,1,28,1,7e+05,1,60,3,5,1,232.254737058118
4514488,1,1,1,41,1,820857,1,48,4,4,0,340.862712842107
4514489,1,1,1,45,1,1087140,1,48,5,5,0,194.208921972393
4514489,1,2,0,44,1,1025640,1,45,5,2,0,194.208921972393
4514490,1,1,1,40,1,1266666.625,1,50,6,3,0,341.979787849128
4514490,1,2,0,34,1,1132300,1,45,6,5,0,341.979787849128
4514491,1,1,1,26,1,866690.3125,1,60,5,2,0,388.4724156604
4514491,1,2,0,23,1,941357,1,40,5,5,0,388.4724156604
4514492,1,1,1,44,1,8e+05,1,45,3,3,1,263.1506421975
4514494,1,6,0,20,1,9e+05,1,48,5,2,1,259.067962336687
4514494,1,1,1,44,1,911333.4375,1,48,3,2,0,259.067962336687
4514494,1,7,1,20,1,9e+05,1,50,4,2,1,259.067962336687
4514494,1,5,1,21,1,1316473.375,1,48,5,4,0,259.067962336687
4514496,1,1,1,24,4,2800000,1,40,6,5,0,247.691106782289
4514497,1,2,0,38,1,5e+05,1,28,5,2,1,205.425424579072
4514497,1,1,1,43,1,8e+05,1,40,5,4,1,205.425424579072
4514498,1,1,1,32,1,1e+06,1,48,5,2,0,303.383478860131
4514499,1,1,0,44,4,5e+05,1,38,5,1,1,299.140446051598
4514500,1,1,0,51,3,1095690.25,1,50,3,1,0,239.212119655787
4514500,1,2,0,19,1,160000,1,24,5,2,1,239.212119655787
4514501,1,1,0,38,1,1166473.375,1,60,3,3,0,205.425424579072
4514501,1,2,1,43,1,754383.6875,1,54,3,5,0,205.425424579072
4514502,1,1,1,54,1,920857,1,40,5,5,0,263.1506421975
4514503,1,1,0,67,4,5e+05,1,30,4,1,1,341.678857482036
4514507,1,1,1,21,1,737717,1,48,5,5,0,247.691106782289
